Name,X,Y,Z
1,1449131.882,656409.692,1.400
2,1449131.532,656409.729,1.402
3,1449131.164,656409.563,1.402
4,1449130.956,656409.235,1.400
5,1449130.959,656408.791,1.402
6,1449126.452,656409.478,1.980
7,1449126.129,656409.595,1.977
8,1449125.880,656409.576,1.980
9,1449125.541,656409.378,1.982
10,1449125.399,656409.154,1.982
11,1449116.342,656408.813,0.979
12,1449116.403,656409.190,0.980
13,1449116.643,656409.474,0.980
14,1449117.076,656409.601,0.980
15,1449117.506,656409.435,0.980
16,1449117.683,656409.206,0.979
17,1449105.375,656408.758,0.497
18,1449105.720,656409.215,0.500
19,1449106.601,656409.053,0.498
20,1449106.221,656409.284,0.498
21,1449105.924,656409.289,0.501
22,1449130.803,656416.784,2.996
23,1449130.779,656417.694,3.001
24,1449131.682,656417.875,3.003
25,1449125.426,656416.830,2.999
26,1449125.495,656417.647,3.001
27,1449126.438,656417.780,2.999
28,1449117.387,656417.538,3.001
29,1449116.525,656417.652,3.001
30,1449116.215,656416.793,3.000
31,1449106.028,656417.417,3.003
32,1449105.660,656417.265,3.003
33,1449105.391,656416.703,3.002
34,1449095.612,656416.583,3.001
35,1449095.003,656417.344,3.005
36,1449094.262,656416.960,3.000
37,1449086.752,656416.434,3.000
38,1449086.423,656417.121,3.003
39,1449085.556,656417.029,3.001
40,1449083.794,656409.129,2.997
41,1449083.654,656409.787,3.000
42,1449083.110,656410.037,2.999
43,1449078.798,656409.215,3.002
44,1449078.748,656408.917,3.000
45,1449078.456,656409.797,3.003
46,1449077.612,656409.710,3.000
47,1449094.532,656408.909,0.981
48,1449095.032,656409.129,0.978
49,1449095.256,656409.101,0.981
50,1449095.566,656408.907,0.977
51,1449095.755,656408.487,0.981
52,1449130.386,656435.143,3.979
53,1449130.862,656435.489,3.981
54,1449130.335,656434.555,3.982
55,1449124.952,656434.489,3.981
56,1449125.053,656435.110,3.980
57,1449125.402,656435.372,3.981
58,1449115.988,656434.341,3.981
59,1449116.152,656434.972,3.981
60,1449116.622,656435.207,3.980
61,1449104.922,656434.500,3.981
62,1449105.221,656435.007,3.980
63,1449105.816,656435.110,3.979
64,1449131.168,656425.923,3.982
65,1449130.695,656425.594,3.980
66,1449130.612,656425.058,3.980
67,1449125.078,656425.075,3.980
68,1449125.348,656425.710,3.981
69,1449125.979,656425.832,3.981
70,1449116.168,656425.194,3.983
71,1449116.466,656425.651,3.980
72,1449116.959,656425.768,3.980
73,1449105.158,656425.025,3.981
74,1449105.475,656425.412,3.979
75,1449106.101,656425.454,3.981
76,1449094.597,656425.256,3.980
77,1449095.046,656425.328,3.980
78,1449095.538,656424.994,3.979
79,1449085.533,656425.125,3.981
80,1449086.107,656425.238,3.979
81,1449086.560,656424.908,3.981
82,1449078.551,656422.535,3.982
83,1449078.166,656422.971,3.979
84,1449077.615,656422.984,3.981
85,1449085.922,656434.749,3.981
86,1449086.411,656434.309,3.980
87,1449085.316,656434.625,3.981
88,1449077.536,656434.633,3.982
89,1449078.152,656434.555,3.979
90,1449078.152,656434.555,3.979
91,1449078.473,656433.998,3.982
92,1449095.089,656434.812,0.982
93,1449094.603,656434.914,0.980
94,1449094.324,656434.808,0.978
95,1449094.090,656434.559,0.980
96,1449093.999,656434.182,0.978
97,1449077.984,656438.028,2.629
98,1449077.657,656438.122,2.628
99,1449077.315,656438.051,2.633
100,1449077.076,656437.861,2.629
101,1449076.928,656437.527,2.629
102,1449131.882,656409.692,1.400
103,1449131.532,656409.729,1.402
104,1449131.164,656409.563,1.402
105,1449130.956,656409.235,1.400
106,1449130.959,656408.791,1.402
